Word,NPhon,NMorph,NSyll
zigzags,7,3,2
Zimbabwean,10,2,3
Zimbabweans,11,3,3
ZIMMERMAN,7,2,3
ZINMAN,6,NA,2
zinnia,5,1,2
zinnias,6,2,2
Zionism,7,2,3
Zionist,7,2,2
Zionists,8,3,2
zippers,5,3,2
zippier,5,3,2
zippiest,7,3,3
zipping,5,2,2
zips,4,2,1
ZIRALDO,NA,NA,NA
zircon,5,1,2
zircons,6,2,2
zither,4,1,2
zithers,5,2,2
zizz,NA,NA,NA
zloty,5,1,2
zlotys,6,2,2
zodiacs,7,2,3
ZOE,3,1,2
zonal,4,2,2
zonked,5,2,1
ZOOEY,NA,NA,NA
zoological,9,3,4
zoologists,10,4,4
zoomed,4,2,1
ZOOOOP,NA,NA,NA
zoophyte,6,NA,3
zoophytes,7,NA,3
zoos,3,2,1
ZORRILLAS,NA,NA,NA
ZOTE,NA,NA,NA
Zouave,4,NA,2
Zouaves,5,NA,2
ZOUNDS,5,1,1
ZU,NA,NA,NA
ZUBKOVSKAYA,NA,NA,NA
zucchinis,7,2,3
ZURCHER,4,NA,2
ZWEI,NA,NA,NA
ZWORYKIN,8,NA,3
WOLFF,4,1,1
WOLFF'S,7,3,2
wolfhounds,9,3,2
wolfing,6,2,2
wolfish,6,2,2
WOLFISHLY,8,3,3
wolfram,7,1,2
wolfs,5,2,1
wolfsbane,8,NA,2
WOLLMAN,6,NA,2
WOLPE,5,NA,2
WOLPE'S,NA,NA,NA
WOLSTENHOLME,11,NA,3
WOLVERTON,8,2,3
womanized,8,3,3
womanizers,9,4,4
womanizes,9,3,4
womanizing,9,3,4
womanlike,8,2,3
womanliness,10,3,4
wombats,7,2,2
wombs,4,2,1
wonderlands,10,3,3
wonderment,9,2,3
WONDUH,5,NA,2
wonkier,6,2,2
wonkiest,8,NA,3
wonky,5,1,2
wonted,6,2,2
WOODBERRY,7,NA,3
woodblocks,8,3,2
WOODBURY'S,8,3,3
WOODCOCK'S,7,3,2
woodcocks,7,3,2
woodcrafts,9,3,2
woodcuts,7,3,2
woodenheaded,9,NA,4
woodenly,6,3,3
woodenness,7,3,3
woodier,5,3,3
woodiest,7,3,3
WOODIN,5,NA,2
woodlands,8,3,2
woodlice,6,2,2
woodlouse,6,2,2
WOODMAN'S,7,3,2
woodmen,6,2,2
woodpeckers,8,4,3
WOODRUFF,6,1,2
WOODRUFF'S,9,NA,3
WOODS'S,7,3,3
woodsheds,7,3,2
woodsmen,7,NA,2
WOODSMOKE,7,2,2
WOODWARDS,8,3,2
woodworms,7,3,2
wooer,3,2,1
wooers,4,3,1
woofer,4,2,2
woofers,5,3,2
wooing,4,2,2
woolgather,7,2,3
woolgathered,8,3,3
woolgathering,9,3,4
woolgathers,8,3,3
WOOLLCOTT,6,NA,2
woollens,6,3,2
woollier,5,3,2
woollies,5,3,2
woolliest,7,3,3
woolliness,7,3,3
wools,4,2,1
woolsack,6,2,2
WOOMERA,6,1,3
WOONASQUATUCKET,NA,NA,NA
WOOOOOSH,NA,NA,NA
woos,3,2,1
woozier,5,2,3
wooziest,7,NA,3
wop,3,NA,1
wops,4,NA,1
WORCESTERSHIRE,8,3,3
wordbook,6,2,2
wordbooks,7,3,2
wordier,5,3,2
wordiest,7,3,3
wordily,6,3,3
wordiness,7,3,3
wordlessly,8,3,3
wordlessness,9,NA,3
workableness,9,3,4
workaday,6,3,3
workbags,7,3,2
workbaskets,10,3,3
workbenches,9,3,3
workbooks,7,3,2
workbox,7,2,2
workboxes,9,3,3
workdays,6,3,2
workhorses,9,3,3
workhouses,8,3,3
WORKIN,6,NA,2
workmanlike,9,3,3
workrooms,7,3,2
worktables,8,3,3
worktop,6,NA,2
worktops,7,NA,2
WORLDERS,6,3,2
worldlier,7,3,2
worldliest,9,3,3
worldliness,9,3,3
wormiest,7,3,3
worming,5,2,2
WORRELL,5,NA,2
WORRYIN,NA,NA,NA
worryingly,8,3,4
